Overall rank,Country or region,Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Happiness
1,Finland,7.769,1.34,0.986,0.596,0.153,0.393,2019,1
2,Denmark,7.6,1.383,0.996,0.592,0.252,0.41,2019,1
3,Norway,7.554,1.488,1.028,0.603,0.271,0.341,2019,1
4,Iceland,7.494,1.38,1.026,0.591,0.354,0.118,2019,1
5,Netherlands,7.488,1.396,0.999,0.557,0.322,0.298,2019,1
6,Switzerland,7.48,1.452,1.052,0.572,0.263,0.343,2019,1
7,Sweden,7.343,1.387,1.009,0.574,0.267,0.373,2019,1
8,New Zealand,7.307,1.303,1.026,0.585,0.33,0.38,2019,1
9,Canada,7.278,1.365,1.039,0.584,0.285,0.308,2019,1
10,Austria,7.246,1.376,1.016,0.532,0.244,0.226,2019,1
11,Australia,7.228,1.372,1.036,0.557,0.332,0.29,2019,1
12,Costa Rica,7.167,1.034,0.963,0.558,0.144,0.093,2019,1
13,Israel,7.139,1.276,1.029,0.371,0.261,0.082,2019,1
14,Luxembourg,7.09,1.609,1.012,0.526,0.194,0.316,2019,1
15,United Kingdom,7.054,1.333,0.996,0.45,0.348,0.278,2019,1
16,Ireland,7.021,1.499,0.999,0.516,0.298,0.31,2019,1
17,Germany,6.985,1.373,0.987,0.495,0.261,0.265,2019,1
18,Belgium,6.923,1.356,0.986,0.473,0.16,0.21,2019,1
19,United States,6.892,1.433,0.874,0.454,0.28,0.128,2019,1
20,Czech Republic,6.852,1.269,0.92,0.457,0.046,0.036,2019,1
21,United Arab Emirates,6.825,1.503,0.825,0.598,0.262,0.182,2019,1
22,Malta,6.726,1.3,0.999,0.564,0.375,0.151,2019,1
23,Mexico,6.595,1.07,0.861,0.433,0.074,0.073,2019,1
24,France,6.592,1.324,1.045,0.436,0.111,0.183,2019,1
25,Taiwan,6.446,1.368,0.914,0.351,0.242,0.097,2019,1
26,Chile,6.444,1.159,0.92,0.357,0.187,0.056,2019,1
27,Guatemala,6.436,0.8,0.746,0.535,0.175,0.078,2019,1
28,Saudi Arabia,6.375,1.403,0.795,0.439,0.08,0.132,2019,1
29,Qatar,6.374,1.684,0.871,0.555,0.22,0.167,2019,1
30,Spain,6.354,1.286,1.062,0.362,0.153,0.079,2019,1
31,Panama,6.321,1.149,0.91,0.516,0.109,0.054,2019,1
32,Brazil,6.3,1.004,0.802,0.39,0.099,0.086,2019,1
33,Uruguay,6.293,1.124,0.891,0.523,0.127,0.15,2019,1
34,Singapore,6.262,1.572,1.141,0.556,0.271,0.453,2019,1
35,El Salvador,6.253,0.794,0.789,0.43,0.093,0.074,2019,1
36,Italy,6.223,1.294,1.039,0.231,0.158,0.03,2019,1
37,Bahrain,6.199,1.362,0.871,0.536,0.255,0.11,2019,1
38,Slovakia,6.198,1.246,0.881,0.334,0.121,0.014,2019,1
39,Trinidad & Tobago,6.192,1.231,0.713,0.489,0.185,0.016,2019,1
40,Poland,6.182,1.206,0.884,0.483,0.117,0.05,2019,1
41,Uzbekistan,6.174,0.745,0.756,0.631,0.322,0.24,2019,1
42,Lithuania,6.149,1.238,0.818,0.291,0.043,0.042,2019,1
43,Colombia,6.125,0.985,0.841,0.47,0.099,0.034,2019,1
44,Slovenia,6.118,1.258,0.953,0.564,0.144,0.057,2019,1
45,Nicaragua,6.105,0.694,0.835,0.435,0.2,0.127,2019,1
46,Kosovo,6.1,0.882,0.758,0.489,0.262,0.006,2019,1
47,Argentina,6.086,1.092,0.881,0.471,0.066,0.05,2019,1
48,Romania,6.07,1.162,0.825,0.462,0.083,0.005,2019,1
49,Cyprus,6.046,1.263,1.042,0.406,0.19,0.041,2019,1
50,Ecuador,6.028,0.912,0.868,0.498,0.126,0.087,2019,1
51,Kuwait,6.021,1.5,0.808,0.493,0.142,0.097,2019,1
52,Thailand,6.008,1.05,0.828,0.557,0.359,0.028,2019,1
53,Latvia,5.94,1.187,0.812,0.264,0.075,0.064,2019,1
54,South Korea,5.895,1.301,1.036,0.159,0.175,0.056,2019,1
55,Estonia,5.893,1.237,0.874,0.495,0.103,0.161,2019,1
56,Jamaica,5.89,0.831,0.831,0.49,0.107,0.028,2019,1
57,Mauritius,5.888,1.12,0.798,0.498,0.215,0.06,2019,1
58,Japan,5.886,1.327,1.088,0.445,0.069,0.14,2019,1
59,Honduras,5.86,0.642,0.828,0.507,0.246,0.078,2019,1
60,Kazakhstan,5.809,1.173,0.729,0.41,0.146,0.096,2019,1
61,Bolivia,5.779,0.776,0.706,0.511,0.137,0.064,2019,1
62,Hungary,5.758,1.201,0.828,0.199,0.081,0.02,2019,1
63,Paraguay,5.743,0.855,0.777,0.514,0.184,0.08,2019,1
64,Northern Cyprus,5.718,1.263,1.042,0.417,0.191,0.162,2019,1
65,Peru,5.697,0.96,0.854,0.455,0.083,0.027,2019,1
66,Portugal,5.693,1.221,0.999,0.508,0.047,0.025,2019,1
67,Pakistan,5.653,0.677,0.535,0.313,0.22,0.098,2019,1
68,Russia,5.648,1.183,0.726,0.334,0.082,0.031,2019,1
69,Philippines,5.631,0.807,0.657,0.558,0.117,0.107,2019,1
70,Serbia,5.603,1.004,0.854,0.282,0.137,0.039,2019,1
71,Moldova,5.529,0.685,0.739,0.245,0.181,0,2019,1
72,Libya,5.525,1.044,0.673,0.416,0.133,0.152,2019,1
73,Montenegro,5.523,1.051,0.871,0.197,0.142,0.08,2019,1
74,Tajikistan,5.467,0.493,0.718,0.389,0.23,0.144,2019,1
75,Croatia,5.432,1.155,0.914,0.296,0.119,0.022,2019,1
76,Hong Kong,5.43,1.438,1.122,0.44,0.258,0.287,2019,1
77,Dominican Republic,5.425,1.015,0.779,0.497,0.113,0.101,2019,1
78,Bosnia and Herzegovina,5.386,0.945,0.845,0.212,0.263,0.006,2019,1
79,Turkey,5.373,1.183,0.808,0.195,0.083,0.106,2019,1
80,Malaysia,5.339,1.221,0.828,0.508,0.26,0.024,2019,1
81,Belarus,5.323,1.067,0.789,0.235,0.094,0.142,2019,1
82,Greece,5.287,1.181,0.999,0.067,0,0.034,2019,1
83,Mongolia,5.285,0.948,0.667,0.317,0.235,0.038,2019,1
84,North Macedonia,5.274,0.983,0.838,0.345,0.185,0.034,2019,1
85,Nigeria,5.265,0.696,0.245,0.426,0.215,0.041,2019,1
86,Kyrgyzstan,5.261,0.551,0.723,0.508,0.3,0.023,2019,1
87,Turkmenistan,5.247,1.052,0.657,0.394,0.244,0.028,2019,1
88,Algeria,5.211,1.002,0.785,0.086,0.073,0.114,2019,1
89,Morocco,5.208,0.801,0.782,0.418,0.036,0.076,2019,1
90,Azerbaijan,5.208,1.043,0.769,0.351,0.035,0.182,2019,1
91,Lebanon,5.197,0.987,0.815,0.216,0.166,0.027,2019,1
92,Indonesia,5.192,0.931,0.66,0.491,0.498,0.028,2019,1
93,China,5.191,1.029,0.893,0.521,0.058,0.1,2019,1
94,Vietnam,5.175,0.741,0.851,0.543,0.147,0.073,2019,1
95,Bhutan,5.082,0.813,0.604,0.457,0.37,0.167,2019,1
96,Cameroon,5.044,0.549,0.331,0.381,0.187,0.037,2019,1
97,Bulgaria,5.011,1.092,0.815,0.311,0.081,0.004,2019,1
98,Ghana,4.996,0.611,0.486,0.381,0.245,0.04,2019,0
99,Ivory Coast,4.944,0.569,0.232,0.352,0.154,0.09,2019,0
100,Nepal,4.913,0.446,0.677,0.439,0.285,0.089,2019,0
101,Jordan,4.906,0.837,0.815,0.383,0.11,0.13,2019,0
102,Benin,4.883,0.393,0.397,0.349,0.175,0.082,2019,0
103,Congo (Brazzaville),4.812,0.673,0.508,0.372,0.105,0.093,2019,0
104,Gabon,4.799,1.057,0.571,0.295,0.043,0.055,2019,0
105,Laos,4.796,0.764,0.551,0.547,0.266,0.164,2019,0
106,South Africa,4.722,0.96,0.469,0.389,0.13,0.055,2019,0
107,Albania,4.719,0.947,0.874,0.383,0.178,0.027,2019,0
108,Venezuela,4.707,0.96,0.805,0.154,0.064,0.047,2019,0
109,Cambodia,4.7,0.574,0.637,0.609,0.232,0.062,2019,0
110,Palestinian Territories,4.696,0.657,0.672,0.225,0.103,0.066,2019,0
111,Senegal,4.681,0.45,0.571,0.292,0.153,0.072,2019,0
112,Somalia,4.668,0,0.268,0.559,0.243,0.27,2019,0
113,Namibia,4.639,0.879,0.477,0.401,0.07,0.056,2019,0
114,Niger,4.628,0.138,0.366,0.318,0.188,0.102,2019,0
115,Burkina Faso,4.587,0.331,0.38,0.255,0.177,0.113,2019,0
116,Armenia,4.559,0.85,0.815,0.283,0.095,0.064,2019,0
117,Iran,4.548,1.1,0.785,0.305,0.27,0.125,2019,0
118,Guinea,4.534,0.38,0.375,0.332,0.207,0.086,2019,0
119,Georgia,4.519,0.886,0.752,0.346,0.043,0.164,2019,0
120,Gambia,4.516,0.308,0.428,0.382,0.269,0.167,2019,0
121,Kenya,4.509,0.512,0.581,0.431,0.372,0.053,2019,0
122,Mauritania,4.49,0.57,0.489,0.066,0.106,0.088,2019,0
123,Mozambique,4.466,0.204,0.39,0.494,0.197,0.138,2019,0
124,Tunisia,4.461,0.921,0.815,0.167,0.059,0.055,2019,0
125,Bangladesh,4.456,0.562,0.723,0.527,0.166,0.143,2019,0
126,Iraq,4.437,1.043,0.574,0.241,0.148,0.089,2019,0
127,Congo (Kinshasa),4.418,0.094,0.357,0.269,0.212,0.053,2019,0
128,Mali,4.39,0.385,0.308,0.327,0.153,0.052,2019,0
129,Sierra Leone,4.374,0.268,0.242,0.309,0.252,0.045,2019,0
130,Sri Lanka,4.366,0.949,0.831,0.47,0.244,0.047,2019,0
131,Myanmar,4.36,0.71,0.555,0.525,0.566,0.172,2019,0
132,Chad,4.35,0.35,0.192,0.174,0.198,0.078,2019,0
133,Ukraine,4.332,0.82,0.739,0.178,0.187,0.01,2019,0
